time,USD_JPY_close,USD_JPY_volume,GBP_USD_close,GBP_USD_volume,GBP_JPY_close,GBP_JPY_volume
2019-01-01T22:00:00.000000000Z,109.590,1.0,1.27583,1.0,139.822,1.0
2019-01-01T22:01:00.000000000Z,109.673,1.0,1.27470,1.0,139.824,5.0
2019-01-01T22:02:00.000000000Z,109.673,1.0,1.27477,3.0,139.806,3.0
2019-01-01T22:03:00.000000000Z,,,1.27468,3.0,139.802,1.0
2019-01-01T22:04:00.000000000Z,,,,,139.760,5.0
2019-01-01T22:05:00.000000000Z,,,1.27446,3.0,139.776,91.0
2019-01-01T22:06:00.000000000Z,109.669,1.0,1.27426,37.0,139.782,63.0
2019-01-01T22:08:00.000000000Z,,,1.27427,2.0,139.738,113.0
2019-01-01T22:09:00.000000000Z,,,,,139.736,179.0
2019-01-01T22:10:00.000000000Z,,,1.27441,6.0,139.740,206.0
2019-01-01T22:11:00.000000000Z,109.669,2.0,1.27445,2.0,139.742,12.0
2019-01-01T22:12:00.000000000Z,,,1.27476,8.0,139.780,71.0
2019-01-01T22:13:00.000000000Z,,,,,139.784,1.0
2019-01-01T22:14:00.000000000Z,109.650,4.0,,,139.788,6.0
2019-01-01T22:15:00.000000000Z,109.674,6.0,1.27454,2.0,139.804,10.0
2019-01-01T22:16:00.000000000Z,,,,,139.798,1.0
2019-01-01T22:17:00.000000000Z,,,1.27477,1.0,139.808,2.0
2019-01-01T22:18:00.000000000Z,109.639,7.0,,,139.766,6.0
2019-01-01T22:19:00.000000000Z,109.635,1.0,,,,
2019-01-01T22:20:00.000000000Z,,,,,139.760,1.0
2019-01-01T22:21:00.000000000Z,109.654,12.0,1.27421,2.0,139.736,17.0
2019-01-01T22:22:00.000000000Z,109.651,1.0,1.27476,4.0,139.776,7.0
2019-01-01T22:23:00.000000000Z,,,,,139.780,1.0
2019-01-01T22:25:00.000000000Z,109.650,3.0,,,139.780,2.0
2019-01-01T22:26:00.000000000Z,109.642,3.0,,,139.772,4.0
2019-01-01T22:27:00.000000000Z,,,,,139.768,1.0
2019-01-01T22:28:00.000000000Z,109.642,4.0,,,139.762,3.0
2019-01-01T22:29:00.000000000Z,109.666,10.0,1.27470,26.0,139.824,31.0
2019-01-01T22:30:00.000000000Z,109.646,14.0,1.27442,21.0,139.736,145.0
2019-01-01T22:31:00.000000000Z,109.654,3.0,1.27441,4.0,139.748,74.0
2019-01-01T22:32:00.000000000Z,,,1.27451,10.0,139.766,55.0
2019-01-01T22:33:00.000000000Z,,,,,139.768,104.0
2019-01-01T22:34:00.000000000Z,,,1.27452,2.0,139.774,347.0
2019-01-01T22:35:00.000000000Z,109.668,5.0,1.27475,4.0,139.830,97.0
2019-01-01T22:36:00.000000000Z,109.668,2.0,1.27463,18.0,139.798,202.0
2019-01-01T22:37:00.000000000Z,,,1.27495,8.0,139.828,212.0
2019-01-01T22:38:00.000000000Z,,,1.27497,29.0,139.832,153.0
2019-01-01T22:39:00.000000000Z,,,1.27474,9.0,139.808,275.0
2019-01-01T22:40:00.000000000Z,109.668,2.0,1.27465,10.0,139.812,285.0
2019-01-01T22:41:00.000000000Z,109.668,4.0,1.27450,12.0,139.776,20.0
2019-01-01T22:42:00.000000000Z,109.672,3.0,1.27416,97.0,139.772,52.0
2019-01-01T22:43:00.000000000Z,109.678,11.0,1.27421,8.0,139.760,29.0
2019-01-01T22:44:00.000000000Z,,,1.27421,10.0,139.762,34.0
2019-01-01T22:45:00.000000000Z,109.696,38.0,1.27416,1.0,139.778,236.0
2019-01-01T22:46:00.000000000Z,,,1.27381,3.0,139.760,47.0
2019-01-01T22:47:00.000000000Z,,,1.27401,4.0,139.760,48.0
2019-01-01T22:48:00.000000000Z,109.692,1.0,1.27378,8.0,139.756,67.0
2019-01-01T22:49:00.000000000Z,,,1.27358,4.0,139.734,109.0
2019-01-01T22:50:00.000000000Z,109.689,275.0,,,139.736,459.0
2019-01-01T22:51:00.000000000Z,109.694,55.0,1.27384,1.0,139.740,135.0
2019-01-01T22:52:00.000000000Z,109.679,4.0,,,139.725,45.0
2019-01-01T22:53:00.000000000Z,109.682,1.0,1.27396,4.0,139.745,398.0
2019-01-01T22:54:00.000000000Z,,,1.27406,3.0,139.770,366.0
2019-01-01T22:55:00.000000000Z,109.684,1.0,1.27416,2.0,139.780,202.0
2019-01-01T22:56:00.000000000Z,,,,,139.776,250.0
2019-01-01T22:57:00.000000000Z,,,1.27418,16.0,139.774,91.0
2019-01-01T22:58:00.000000000Z,109.687,1.0,1.27420,16.0,139.792,28.0
2019-01-01T22:59:00.000000000Z,109.684,5.0,1.27398,15.0,139.776,38.0
2019-01-01T23:00:00.000000000Z,109.674,30.0,1.27445,92.0,139.784,46.0
2019-01-01T23:01:00.000000000Z,109.664,6.0,1.27528,58.0,139.887,56.0
2019-01-01T23:02:00.000000000Z,109.658,7.0,1.27513,3.0,139.859,7.0
2019-01-01T23:03:00.000000000Z,109.657,2.0,1.27498,3.0,139.848,10.0
2019-01-01T23:04:00.000000000Z,109.668,4.0,1.27519,2.0,139.851,9.0
2019-01-01T23:05:00.000000000Z,109.688,10.0,1.27509,2.0,139.863,19.0
2019-01-01T23:06:00.000000000Z,109.672,7.0,,,139.842,11.0
2019-01-01T23:07:00.000000000Z,109.666,10.0,1.27504,1.0,139.838,12.0
2019-01-01T23:08:00.000000000Z,109.666,2.0,1.27476,3.0,139.830,5.0
2019-01-01T23:09:00.000000000Z,109.669,11.0,1.27471,1.0,139.830,10.0
2019-01-01T23:10:00.000000000Z,109.677,17.0,1.27503,107.0,139.850,29.0
2019-01-01T23:11:00.000000000Z,109.688,21.0,1.27506,61.0,139.870,24.0
2019-01-01T23:12:00.000000000Z,109.690,13.0,1.27505,68.0,139.873,9.0
2019-01-01T23:13:00.000000000Z,109.690,26.0,1.27506,31.0,139.873,20.0
2019-01-01T23:14:00.000000000Z,109.704,46.0,1.27504,19.0,139.890,23.0
2019-01-01T23:15:00.000000000Z,109.718,40.0,1.27504,38.0,139.906,25.0
2019-01-01T23:16:00.000000000Z,,,1.27503,29.0,139.906,2.0
2019-01-01T23:17:00.000000000Z,109.698,32.0,1.27502,219.0,139.884,24.0
2019-01-01T23:18:00.000000000Z,109.718,27.0,1.27506,120.0,139.908,34.0
2019-01-01T23:19:00.000000000Z,109.708,17.0,1.27503,35.0,139.894,15.0
2019-01-01T23:20:00.000000000Z,109.702,10.0,1.27500,19.0,139.885,7.0
2019-01-01T23:21:00.000000000Z,109.706,6.0,1.27500,105.0,139.892,15.0
2019-01-01T23:22:00.000000000Z,109.702,6.0,1.27499,147.0,139.882,6.0
2019-01-01T23:23:00.000000000Z,109.702,2.0,1.27491,45.0,139.874,7.0
2019-01-01T23:24:00.000000000Z,109.704,3.0,1.27481,56.0,139.863,6.0
2019-01-01T23:25:00.000000000Z,109.691,9.0,1.27482,43.0,139.850,7.0
2019-01-01T23:26:00.000000000Z,109.706,16.0,1.27497,59.0,139.888,18.0
2019-01-01T23:27:00.000000000Z,109.707,12.0,,,139.888,11.0
2019-01-01T23:28:00.000000000Z,109.712,12.0,,,139.894,8.0
2019-01-01T23:29:00.000000000Z,109.709,5.0,1.27492,8.0,139.883,7.0
2019-01-01T23:30:00.000000000Z,109.721,7.0,1.27482,19.0,139.888,14.0
2019-01-01T23:31:00.000000000Z,109.718,11.0,1.27481,7.0,139.886,15.0
2019-01-01T23:32:00.000000000Z,109.719,8.0,1.27482,4.0,139.886,8.0
2019-01-01T23:33:00.000000000Z,109.718,18.0,1.27484,24.0,139.886,16.0
2019-01-01T23:34:00.000000000Z,109.714,6.0,1.27503,25.0,139.902,22.0
2019-01-01T23:35:00.000000000Z,109.692,9.0,1.27508,28.0,139.882,12.0
2019-01-01T23:36:00.000000000Z,109.690,1.0,1.27514,9.0,139.885,1.0
2019-01-01T23:37:00.000000000Z,109.683,3.0,1.27517,18.0,139.878,5.0
2019-01-01T23:38:00.000000000Z,109.678,2.0,1.27514,10.0,139.870,3.0
2019-01-01T23:39:00.000000000Z,109.672,2.0,1.27515,10.0,139.864,3.0
2019-01-01T23:40:00.000000000Z,109.672,4.0,1.27516,28.0,139.862,3.0
2019-01-01T23:41:00.000000000Z,109.682,4.0,1.27514,9.0,139.875,8.0
2019-01-01T23:42:00.000000000Z,109.684,1.0,1.27514,16.0,139.877,1.0
2019-01-01T23:43:00.000000000Z,109.684,2.0,1.27513,22.0,139.875,3.0
2019-01-01T23:44:00.000000000Z,109.697,7.0,1.27514,6.0,139.892,7.0
2019-01-01T23:45:00.000000000Z,109.695,1.0,1.27514,5.0,139.892,2.0
2019-01-01T23:46:00.000000000Z,109.683,13.0,1.27516,9.0,139.874,17.0
2019-01-01T23:47:00.000000000Z,109.701,17.0,1.27515,17.0,139.900,22.0
2019-01-01T23:48:00.000000000Z,109.689,7.0,1.27516,63.0,139.884,9.0
2019-01-01T23:49:00.000000000Z,109.666,9.0,1.27514,19.0,139.856,14.0
2019-01-01T23:50:00.000000000Z,109.672,18.0,1.27516,22.0,139.864,17.0
2019-01-01T23:51:00.000000000Z,109.662,6.0,1.27534,75.0,139.870,30.0
2019-01-01T23:52:00.000000000Z,109.652,8.0,1.27522,45.0,139.856,10.0
2019-01-01T23:53:00.000000000Z,109.655,13.0,1.27542,83.0,139.870,19.0
2019-01-01T23:54:00.000000000Z,109.660,2.0,1.27542,28.0,139.875,2.0
2019-01-01T23:55:00.000000000Z,109.667,5.0,1.27540,53.0,139.884,8.0
2019-01-01T23:56:00.000000000Z,,,1.27542,30.0,139.884,8.0
2019-01-01T23:57:00.000000000Z,109.678,19.0,1.27540,18.0,139.898,21.0
2019-01-01T23:58:00.000000000Z,109.674,6.0,1.27540,4.0,139.892,7.0
2019-01-01T23:59:00.000000000Z,109.672,3.0,1.27542,7.0,139.892,10.0
